date,hour,energy_kWh
7/10/2012,1,0.577
7/10/2012,2,0.558
7/10/2012,3,0.548
7/10/2012,4,0.701
7/10/2012,5,0.574
7/10/2012,6,0.555
7/10/2012,7,0.815
7/10/2012,8,0.589
7/10/2012,9,0.703
7/10/2012,10,0.505
7/10/2012,11,0.441
7/10/2012,12,0.412
7/10/2012,13,0.414
7/10/2012,14,0.445
7/10/2012,15,0.5
7/10/2012,16,0.577
7/10/2012,17,0.671
7/10/2012,18,0.78
7/10/2012,19,0.9
7/10/2012,20,1.028
7/10/2012,21,1.161
7/10/2012,22,1.294
7/10/2012,23,1.424
7/11/2012,0,1.549
7/11/2012,1,1.664
7/11/2012,2,0.58
7/11/2012,3,0.281
7/11/2012,4,0.577
7/11/2012,5,0.542
7/11/2012,6,0.302
7/11/2012,7,0.89
7/11/2012,8,0.77
7/11/2012,9,0.678
7/11/2012,10,0.732
7/11/2012,11,0.628
7/11/2012,12,0.563
7/11/2012,13,0.746
7/11/2012,14,0.895
7/11/2012,15,1.195
7/11/2012,16,0.912
7/11/2012,17,1.077
7/11/2012,18,0.354
7/11/2012,19,0.594
7/11/2012,20,0.558
7/11/2012,21,0.549
7/11/2012,22,1.237
7/11/2012,23,1.564
7/12/2012,0,0.71
7/12/2012,1,0.737
7/12/2012,2,0.596
7/12/2012,3,0.619
7/12/2012,4,0.604
7/12/2012,5,0.633
7/12/2012,6,0.725
7/12/2012,7,1.254
7/12/2012,8,0.699
7/12/2012,9,0.63
7/12/2012,10,0.892
7/12/2012,11,0.701
7/12/2012,12,0.633
7/12/2012,13,0.853
7/12/2012,14,0.79
7/12/2012,15,1.123
7/12/2012,16,1.349
7/12/2012,17,1.193
7/12/2012,18,1.02
7/12/2012,19,1.31
7/12/2012,20,0.575
7/12/2012,21,1.08
7/12/2012,22,1.417
7/12/2012,23,1.365
7/13/2012,0,0.677
7/13/2012,1,0.585
7/13/2012,2,0.526
7/13/2012,3,0.609
7/13/2012,4,0.525
7/13/2012,5,0.591
7/13/2012,6,0.534
7/13/2012,7,1
7/13/2012,8,0.548
7/13/2012,9,0.579
7/13/2012,10,0.806
7/13/2012,11,0.912
7/13/2012,12,0.557
7/13/2012,13,0.637
7/13/2012,14,0.702
7/13/2012,15,0.51
7/13/2012,16,0.738
7/13/2012,17,0.607
7/13/2012,18,2.556
7/13/2012,19,2.435
7/13/2012,20,3.456
7/13/2012,21,0.971
7/13/2012,22,1.72
7/13/2012,23,1.522
7/14/2012,0,1.121
7/14/2012,1,1.138
7/14/2012,2,0.651
7/14/2012,3,0.569
7/14/2012,4,0.562
7/14/2012,5,0.568
7/14/2012,6,0.553
7/14/2012,7,0.578
7/14/2012,8,0.663
7/14/2012,9,0.735
7/14/2012,10,0.958
7/14/2012,11,1.82
7/14/2012,12,1.422
7/14/2012,13,1.453
7/14/2012,14,1.686
7/14/2012,15,2.001
7/14/2012,16,2.264
7/14/2012,17,2.731
7/14/2012,18,2.687
7/14/2012,19,1.42
7/14/2012,20,0.57
7/14/2012,21,0.717
7/14/2012,22,1.413
7/14/2012,23,0.87
7/15/2012,0,0.615
7/15/2012,1,0.529
7/15/2012,2,0.736
7/15/2012,3,0.681
7/15/2012,4,0.576
7/15/2012,5,0.584
7/15/2012,6,0.589
7/15/2012,7,0.545
7/15/2012,8,0.571
7/15/2012,9,0.638
7/15/2012,10,1.417
7/15/2012,11,0.631
7/15/2012,12,0.568
7/15/2012,13,0.718
7/15/2012,14,0.874
7/15/2012,15,0.727
